,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
0,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
1,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
2,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.40399
3,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.819598
4,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.819598
5,HP,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,10.51843
6,DELL,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.571086
7,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
8,Others,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,10.757711
9,ASUS,Window,DDR4,16,AMD,AMD,1,14.0,SSD,512,10.714218
10,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.00195
11,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
12,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.40399
13,ASUS,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.877877
14,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.308653
15,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
16,ASUS,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.778769
17,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.736201
18,MSI,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.778769
19,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
20,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396291
21,HP,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.621108
22,Lenovo,Others,Others,4,Intel,Intel,1,15.6,HDD,256,9.877708
23,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
